Table 1
query,query_p1,query_p2,query_p3,query_p4,name,site,type,subtypes,phone,full_address,borough,street,city,postal_code,state,us_state,country,country_code,latitude,longitude,time_zone,plus_code,rating,reviews,reviews_link,reviews_per_score,photos_count,photo,working_hours,working_hours_old_format,temporarily_closed,status,about,price_range,posts,verified,owner_id,owner_title,owner_link,reserving_table_link,booking_appointment_link,location_link,place_id,google_id,reviews_id
"police station, Mangere, Auckland, New Zealand",police station,Mangere,Auckland,New Zealand,Auckland Airport Police Station,https://www.police.govt.nz/,State police,"State police, Police department",+64 800 105 105,"5 Cyril Kay Road, Mangere, Auckland 2022, New Zealand",Mangere,5 Cyril Kay Rd,Auckland,2022,,,New Zealand,NZ,-37.0053838,174.7878695,Pacific/Auckland,,5,5,"https://search.google.com/local/reviews?placeid=ChIJXzJVOe9PDW0R9nsA_ddf814&q=police+station,+Mangere,+Auckland,+New+Zealand&authuser=0&hl=en&gl=US","{""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 5}",7,https://lh5.googleusercontent.com/p/AF1QipNNRnOHElKHZfz_fWjVmV_Z7OXuwrOHlFYCzUQN,,,,,,,,TRUE,106701301806384187888,Auckland Airport Police Station,https://www.google.com/maps/contrib/106701301806384187888,,,"https://www.google.com/maps/place/Auckland+Airport+Police+Station/@-37.0053838,174.7878695,14z/data=!4m8!1m2!2m1!1sAuckland+Airport+Police+Station!3m4!1s0x6d0d4fef3955325f:0x5ef35fd7fd007bf6!8m2!3d-37.0053838!4d174.7878695",ChIJXzJVOe9PDW0R9nsA_ddf814,0x6d0d4fef3955325f:0x5ef35fd7fd007bf6,6841917640173190134
"police station, Mangere, Auckland, New Zealand",police station,Mangere,Auckland,New Zealand,Counties Manukau Police Station,http://www.police.govt.nz/,Police station,"Police station, Police department",+64 9-261 1300,"42 Manukau Station Road, Manukau, Auckland 2104, New Zealand",Manukau,42 Manukau Station Rd,Auckland,2104,,,New Zealand,NZ,-36.9944033,174.8797218,Pacific/Auckland,,3.4,33,"https://search.google.com/local/reviews?placeid=ChIJE1mCY5VNDW0Rwlg8spaSeaw&q=police+station,+Mangere,+Auckland,+New+Zealand&authuser=0&hl=en&gl=US","{""1"": 11, ""2"": 1, ""3"": 1, ""4"": 4, ""5"": 16}",8,https://lh5.googleusercontent.com/p/AF1QipPX3ZQpQXX-3ukg1wADyJWRrImyNEtbSeatlViF,,,,,,,,FALSE,,Counties Manukau Police Station,,,,"https://www.google.com/maps/place/Counties+Manukau+Police+Station/@-36.9944033,174.8797218,14z/data=!4m8!1m2!2m1!1sCounties+Manukau+Police+Station!3m4!1s0x6d0d4d9563825913:0xac799296b23c58c2!8m2!3d-36.9944033!4d174.8797218",ChIJE1mCY5VNDW0Rwlg8spaSeaw,0x6d0d4d9563825913:0xac799296b23c58c2,-6018618251070908222
"police station, Mangere, Auckland, New Zealand",police station,Mangere,Auckland,New Zealand,Otahuhu Police Station,http://www.police.govt.nz/contact-us/station/otahuhu-police-station,Police station,Police station,+64 9-259 1200,"180 Great South Road, Otahuhu, Auckland 1062, New Zealand",Otahuhu,180 Great S Rd,Auckland,1062,,,New Zealand,NZ,-36.940986,174.8409628,Pacific/Auckland,,3.6,11,"https://search.google.com/local/reviews?placeid=ChIJW6rHiLlODW0RDji1pISVyzQ&q=police+station,+Mangere,+Auckland,+New+Zealand&authuser=0&hl=en&gl=US","{""1"": 2, ""2"": 0, ""3"": 2, ""4"": 3, ""5"": 4}",2,https://lh5.googleusercontent.com/p/AF1QipM_p5K40D9YPWEj8LcN3HGbjdmaqLcBW__uPL5K,"{""Tuesday"": ""8AM\u20134PM"", ""Wednesday"": ""8AM\u20134PM"", ""Thursday"": ""8AM\u20134PM"", ""Friday"": ""8AM\u20134PM"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed"", ""Monday"": ""8AM\u20134PM""}",Monday: 8AM–4PM | Tuesday: 8AM–4PM | Wednesday: 8AM–4PM | Thursday: 8AM–4PM | Friday: 8AM–4PM | Saturday: Closed | Sunday: Closed,,,,,,FALSE,,Otahuhu Police Station,,,,"https://www.google.com/maps/place/Otahuhu+Police+Station/@-36.940985999999995,174.8409628,14z/data=!4m8!1m2!2m1!1sOtahuhu+Police+Station!3m4!1s0x6d0d4eb988c7aa5b:0x34cb9584a4b5380e!8m2!3d-36.940985999999995!4d174.8409628",ChIJW6rHiLlODW0RDji1pISVyzQ,0x6d0d4eb988c7aa5b:0x34cb9584a4b5380e,3804298707176077326
"police station, Mangere, Auckland, New Zealand",police station,Mangere,Auckland,New Zealand,Onehunga Police Station,https://www.police.govt.nz/contact-us/station/onehunga-police-station,Police station,Police station,+64 9-622 8725,"126 Onehunga Mall, Onehunga, Auckland 1061, New Zealand",Onehunga,126 Onehunga Mall,Auckland,1061,,,New Zealand,NZ,-36.9247623,174.7852356,Pacific/Auckland,,5,1,"https://search.google.com/local/reviews?placeid=ChIJD2zfwLJIDW0RmNakRZy5l8w&q=police+station,+Mangere,+Auckland,+New+Zealand&authuser=0&hl=en&gl=US","{""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 1}",11,https://lh5.googleusercontent.com/p/AF1QipMdcU3oxHbHIPYY6UJZU52mTS0nNL7kYBgYYS8P,"{""Tuesday"": ""9AM\u20134PM"", ""Wednesday"": ""9AM\u20134PM"", ""Thursday"": ""9AM\u20134PM"", ""Friday"": ""9AM\u20134PM"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed"", ""Monday"": ""9AM\u20134PM""}",Monday: 9AM–4PM | Tuesday: 9AM–4PM | Wednesday: 9AM–4PM | Thursday: 9AM–4PM | Friday: 9AM–4PM | Saturday: Closed | Sunday: Closed,,,,,,FALSE,,Onehunga Police Station,,,,"https://www.google.com/maps/place/Onehunga+Police+Station/@-36.9247623,174.7852356,14z/data=!4m8!1m2!2m1!1sOnehunga+Police+Station!3m4!1s0x6d0d48b2c0df6c0f:0xcc97b99c45a4d698!8m2!3d-36.9247623!4d174.7852356",ChIJD2zfwLJIDW0RmNakRZy5l8w,0x6d0d48b2c0df6c0f:0xcc97b99c45a4d698,-3704288087654476136
"police station, Mangere, Auckland, New Zealand",police station,Mangere,Auckland,New Zealand,NZ Police Recruitment Centre,http://www.newcops.co.nz/,Police department,Police department,+64 9-529 9109,"482 Great South Road, Otahuhu, Auckland 1062, New Zealand",Otahuhu,482 Great S Rd,Auckland,1062,,,New Zealand,NZ,-36.9468593,174.8461895,Pacific/Auckland,,5,1,"https://search.google.com/local/reviews?placeid=ChIJuVWptYlIDW0R2E47S63feyw&q=police+station,+Mangere,+Auckland,+New+Zealand&authuser=0&hl=en&gl=US","{""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 1}",1,https://lh5.googleusercontent.com/p/mDBZjx2_tyKhDCi-VUMvIA,,,,,,,,FALSE,,NZ Police Recruitment Centre,,,,"https://www.google.com/maps/place/NZ+Police+Recruitment+Centre/@-36.9468593,174.84618949999998,14z/data=!4m8!1m2!2m1!1sNZ+Police+Recruitment+Centre!3m4!1s0x6d0d4889b5a955b9:0x2c7bdfad4b3b4ed8!8m2!3d-36.9468593!4d174.84618949999998",ChIJuVWptYlIDW0R2E47S63feyw,0x6d0d4889b5a955b9:0x2c7bdfad4b3b4ed8,3205401495188754136
"police station, Mangere, Auckland, New Zealand",police station,Mangere,Auckland,New Zealand,Avondale Police Station,http://www.police.govt.nz/,Police station,"Police station, Federal police, Police department, State police",+64 9-302 6400,"1832 Great North Road, Avondale, Auckland 1026, New Zealand",Avondale,1832 Great N Rd,Auckland,1026,,,New Zealand,NZ,-36.8932379,174.6965523,Pacific/Auckland,,4.4,12,"https://search.google.com/local/reviews?placeid=ChIJDdY77M5GDW0RJ8Egki80r9o&q=police+station,+Mangere,+Auckland,+New+Zealand&authuser=0&hl=en&gl=US","{""1"": 1, ""2"": 0, ""3"": 1, ""4"": 1, ""5"": 9}",6,https://lh5.googleusercontent.com/p/AF1QipMhicMuluKNAaU2Epc0cfTvuaKgeyf1qzjoNVDX,"{""Tuesday"": ""8AM\u20134PM"", ""Wednesday"": ""8AM\u20134PM"", ""Thursday"": ""8AM\u20134PM"", ""Friday"": ""8AM\u20134PM"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed"", ""Monday"": ""8AM\u20134PM""}",Monday: 8AM–4PM | Tuesday: 8AM–4PM | Wednesday: 8AM–4PM | Thursday: 8AM–4PM | Friday: 8AM–4PM | Saturday: Closed | Sunday: Closed,,,,,,TRUE,102602913435767613891,Avondale Police Station,https://www.google.com/maps/contrib/102602913435767613891,,,"https://www.google.com/maps/place/Avondale+Police+Station/@-36.893237899999995,174.69655229999998,14z/data=!4m8!1m2!2m1!1sAvondale+Police+Station!3m4!1s0x6d0d46ceec3bd60d:0xdaaf342f9220c127!8m2!3d-36.893237899999995!4d174.69655229999998",ChIJDdY77M5GDW0RJ8Egki80r9o,0x6d0d46ceec3bd60d:0xdaaf342f9220c127,-2688873073597169369
"police station, Mangere, Auckland, New Zealand",police station,Mangere,Auckland,New Zealand,New Zealand Police,http://www.police.govt.nz/contact-us/station/henderson,Police station,Police station,+64 9-839 0600,"7 Buscomb Avenue, Henderson, Auckland 0610, New Zealand",Henderson,7 Buscomb Ave,Auckland,0610,,,New Zealand,NZ,-36.874462,174.6292994,Pacific/Auckland,,2.8,25,"https://search.google.com/local/reviews?placeid=ChIJDduw4EpADW0RxcDeaKWPyBs&q=police+station,+Mangere,+Auckland,+New+Zealand&authuser=0&hl=en&gl=US","{""1"": 11, ""2"": 2, ""3"": 2, ""4"": 2, ""5"": 8}",2,https://lh5.googleusercontent.com/p/AF1QipPxHB7AYBbqFZU3HleIU3UpSAKdxQA5gveA1frR,"{""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Sunday"": ""Open 24 hours"", ""Monday"": ""Open 24 hours""}",Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,,,,,,FALSE,,New Zealand Police,,,,"https://www.google.com/maps/place/New+Zealand+Police/@-36.874462,174.62929939999998,14z/data=!4m8!1m2!2m1!1sNew+Zealand+Police!3m4!1s0x6d0d404ae0b0db0d:0x1bc88fa568dec0c5!8m2!3d-36.874462!4d174.62929939999998",ChIJDduw4EpADW0RxcDeaKWPyBs,0x6d0d404ae0b0db0d:0x1bc88fa568dec0c5,2002007974957990085
"police station, Mangere, Auckland, New Zealand",police station,Mangere,Auckland,New Zealand,Manurewa Police Station,https://www.police.govt.nz/contact-us/station/manurewa-police-station,Police department,Police department,+64 9-268 5800,"14 Halver Road, Manurewa, Auckland 2102, New Zealand",Manurewa,14 Halver Rd,Auckland,2102,,,New Zealand,NZ,-37.0215088,174.8989457,Pacific/Auckland,,3,12,"https://search.google.com/local/reviews?placeid=ChIJ6RykqYBSDW0RK2AkcWRu4yU&q=police+station,+Mangere,+Auckland,+New+Zealand&authuser=0&hl=en&gl=US","{""1"": 5, ""2"": 1, ""3"": 0, ""4"": 1, ""5"": 5}",5,https://lh5.googleusercontent.com/p/AF1QipM2yFlc3rJjMFWLZdqwdskWmsjURCj-UNwinfP6,"{""Tuesday"": ""8AM\u20134PM"", ""Wednesday"": ""8AM\u20134PM"", ""Thursday"": ""8AM\u20134PM"", ""Friday"": ""8AM\u20134PM"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed"", ""Monday"": ""8AM\u20134PM""}",Monday: 8AM–4PM | Tuesday: 8AM–4PM | Wednesday: 8AM–4PM | Thursday: 8AM–4PM | Friday: 8AM–4PM | Saturday: Closed | Sunday: Closed,,,,,,FALSE,,Manurewa Police Station,,,,"https://www.google.com/maps/place/Manurewa+Police+Station/@-37.0215088,174.89894569999998,14z/data=!4m8!1m2!2m1!1sManurewa+Police+Station!3m4!1s0x6d0d5280a9a41ce9:0x25e36e647124602b!8m2!3d-37.0215088!4d174.89894569999998",ChIJ6RykqYBSDW0RK2AkcWRu4yU,0x6d0d5280a9a41ce9:0x25e36e647124602b,2730147176790646827
"police station, Mangere, Auckland, New Zealand",police station,Mangere,Auckland,New Zealand,Papakura Central Police Station,https://www.police.govt.nz/contact-us/station/papakura-central-police-station,Police station,Police station,+64 9-295 0200,"64 Wood Street, Auckland 2110, New Zealand",,64 Wood St,,2110,Auckland,,New Zealand,NZ,-37.0652366,174.945202,Pacific/Auckland,,4.2,9,"https://search.google.com/local/reviews?placeid=ChIJU2wdIdSscm0R5gx_mEUVUHA&q=police+station,+Mangere,+Auckland,+New+Zealand&authuser=0&hl=en&gl=US","{""1"": 1, ""2"": 0, ""3"": 1, ""4"": 1, ""5"": 6}",1,https://lh5.googleusercontent.com/p/OiSEcvmdiS9UlSNKoQbtkg,"{""Tuesday"": ""8AM\u20134PM"", ""Wednesday"": ""8AM\u20134PM"", ""Thursday"": ""8AM\u20134PM"", ""Friday"": ""8AM\u20134PM"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed"", ""Monday"": ""8AM\u20134PM""}",Monday: 8AM–4PM | Tuesday: 8AM–4PM | Wednesday: 8AM–4PM | Thursday: 8AM–4PM | Friday: 8AM–4PM | Saturday: Closed | Sunday: Closed,,,,,,FALSE,,Papakura Central Police Station,,,,"https://www.google.com/maps/place/Papakura+Central+Police+Station/@-37.0652366,174.945202,14z/data=!4m8!1m2!2m1!1sPapakura+Central+Police+Station!3m4!1s0x6d72acd4211d6c53:0x70501545987f0ce6!8m2!3d-37.0652366!4d174.945202",ChIJU2wdIdSscm0R5gx_mEUVUHA,0x6d72acd4211d6c53:0x70501545987f0ce6,8092991919040171238
"police station, Mangere, Auckland, New Zealand",police station,Mangere,Auckland,New Zealand,Newmarket Police Station,https://www.police.govt.nz/contact-us/station/newmarket-police-station,Police department,Police department,+64 9-529 5647,"58 Remuera Road, Remuera, Auckland 1050, New Zealand",Remuera,58 Remuera Rd,Auckland,1050,,,New Zealand,NZ,-36.8711814,174.7794237,Pacific/Auckland,,2,10,"https://search.google.com/local/reviews?placeid=ChIJo-oWu3BIDW0RBzlLvnBhYt8&q=police+station,+Mangere,+Auckland,+New+Zealand&authuser=0&hl=en&gl=US","{""1"": 6, ""2"": 0, ""3"": 2, ""4"": 2, ""5"": 0}",1,https://lh5.googleusercontent.com/p/y7m8BCbizJE2xZWiA-Ir5Q,"{""Tuesday"": ""8AM\u20133PM"", ""Wednesday"": ""8AM\u20133PM"", ""Thursday"": ""8AM\u20133PM"", ""Friday"": ""8AM\u20133PM"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed"", ""Monday"": ""8AM\u20133PM""}",Monday: 8AM–3PM | Tuesday: 8AM–3PM | Wednesday: 8AM–3PM | Thursday: 8AM–3PM | Friday: 8AM–3PM | Saturday: Closed | Sunday: Closed,,,,,,FALSE,,Newmarket Police Station,,,,"https://www.google.com/maps/place/Newmarket+Police+Station/@-36.8711814,174.7794237,14z/data=!4m8!1m2!2m1!1sNewmarket+Police+Station!3m4!1s0x6d0d4870bb16eaa3:0xdf626170be4b3907!8m2!3d-36.8711814!4d174.7794237",ChIJo-oWu3BIDW0RBzlLvnBhYt8,0x6d0d4870bb16eaa3:0xdf626170be4b3907,-2350208918677145337
